ts,mid,spread,obi,depth,volatility,trade_intensity,queue_at_best,hour
1764547200867476878,2990.1,0.19995117,0.6476394,209.3429,0.0,0.0,0.5858,0
1764547201867476878,2990.1,0.19995117,0.13638103,236.21759,0.0,0.0,2.9019,0
1764547202867476878,2990.1,0.19995117,0.13638103,236.21759,0.0,0.0,2.9019,0
1764547203867476878,2990.1,0.19995117,0.13638103,236.21759,0.0,0.0,2.9019,0
1764547204867476878,2990.05,0.100097656,0.017137187,1477.9905,7.433155587932561e-06,0.0,2.4529,0
1764547205867476878,2989.75,0.100097656,0.1449635,2998.4885,3.890991138177924e-05,2.900307950752291,2.6832018,0
1764547206867476878,2989.45,0.100097656,0.8618782,1908.3691,4.55872286693193e-05,7.087571732649954,166.4242,0
1764547207867476878,2989.35,0.099853516,0.8086932,2574.9072,4.22174452978652e-05,9.428197880607076,152.797,0
1764547208867476878,2989.25,0.100097656,0.7529606,3548.1677,3.9499129343312234e-05,11.344540489398026,454.49533,0
1764547209867476878,2989.25,0.100097656,0.6433736,4767.8955,3.887760249199346e-05,12.188432128960793,379.92062,0
1764547210867476878,2989.25,0.100097656,0.690362,4866.2246,3.807967732427642e-05,18.498698821118793,409.53757,0
1764547211867476878,2989.85,0.099853516,0.15812215,5353.7876,7.510340219596401e-05,34.72253228435533,161.8114,0
1764547212867476878,2990.05,0.100097656,0.31975675,7416.4404,7.478746556444094e-05,58.33783074807778,329.45972,0
1764547213867476878,2990.45,0.100097656,0.17090012,5738.8047,8.046297443797812e-05,95.0742495479563,96.1037,0
1764547214867476878,2990.7998,0.19995117,0.20327893,4866.8545,8.231544779846445e-05,134.03367847654786,60.0248,0
1764547215867476878,2991.05,0.100097656,0.1456159,4054.4575,8.127349428832531e-05,134.20884285138857,1.5041,0
1764547216867476878,2991.25,0.100097656,0.04283937,4837.688,7.946260302560404e-05,118.40056158277673,9.0,0
1764547217867476878,2991.35,0.099853516,0.053673495,4560.864,7.712148362770677e-05,108.17687425868789,0.0267,0
1764547218867476878,2991.35,0.099853516,0.07955891,4523.0977,7.515965262427926e-05,93.28073414741016,20.3785,0
1764547219867476878,2991.35,0.099853516,0.12978041,4605.381,7.333832036238164e-05,78.54703667924035,95.5775,0
1764547220867476878,2991.35,0.099853516,0.14403807,4115.458,7.164176349760965e-05,70.2907596408649,272.3804,0
1764547221867476878,2991.55,0.100097656,0.15776603,5329.4756,7.214430661406368e-05,79.48278545275294,66.4647,0
1764547222867476878,2991.65,0.099853516,0.17141162,5313.018,7.19504605513066e-05,87.91492590264235,10.879801,0
1764547223867476878,2991.65,0.099853516,0.11557878,5036.38,7.195046782726422e-05,72.70373047875341,10.128,0
1764547224867476878,2991.65,0.099853516,0.12092332,5606.2705,7.153287151595578e-05,60.79366473490253,10.128,0
1764547225867476878,2991.65,0.099853516,0.13319102,5860.258,6.574690632987767e-05,51.04252763923122,10.7799,0
1764547226867476878,2991.65,0.099853516,0.09546319,6067.779,5.897646406083368e-05,41.79008709307148,10.7799,0
1764547227867476878,2991.45,0.100097656,0.304054,3069.0444,6.136181036708876e-05,44.5471765514599,316.4382,0
1764547228867476878,2991.7998,0.19995117,0.18759388,4817.0757,6.17411860730499e-05,71.6383773083461,10.691099,0
1764547229867476878,2991.85,0.099853516,0.18821129,4038.267,6.12808798905462e-05,81.4924677151211,10.8358,0
