episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,static_vs_vwap,sizeaware_vs_vwap
0,12236,72715,216.88,41.49,45.29,171.59,-3.81
1,13235,73714,61.45,42.77,44.41,17.04,-1.64
2,19527,80006,42.96,39.77,71.03,-28.07,-31.26
3,24578,85057,44.76,38.49,33.91,10.84,4.57
4,901,61380,42.16,40.55,43.77,-1.61,-3.21
5,3727,64206,94.15,50.14,48.18,45.97,1.96
6,21280,81759,45.75,40.98,48.4,-2.65,-7.41
7,24531,85010,36.98,41.85,46.06,-9.08,-4.21
8,6444,66923,97.05,39.13,50.01,47.04,-10.88
9,8063,68542,113.22,41.46,39.4,73.81,2.05
10,22472,82951,27.95,34.44,37.39,-9.44,-2.95
11,10946,71425,70.46,27.82,30.72,39.74,-2.9
12,7063,67542,23.82,35.08,31.58,-7.77,3.5
13,21403,81882,63.3,43.86,47.4,15.9,-3.54
14,6645,67124,124.35,35.83,35.28,89.06,0.55
15,10581,71060,41.33,30.51,31.1,10.23,-0.59
16,16648,77127,53.07,43.89,49.29,3.78,-5.39
17,14211,74690,111.65,63.17,36.42,75.23,26.75
18,2217,62696,31.76,46.42,39.32,-7.56,7.1
19,712,61191,24.7,19.94,27.36,-2.66,-7.42
20,22383,82862,36.16,32.34,38.22,-2.05,-5.88
21,19485,79964,191.51,41.3,53.53,137.97,-12.23
22,21666,82145,28.77,34.52,43.25,-14.48,-8.73
23,13915,74394,40.18,27.96,36.92,3.26,-8.96
24,21140,81619,36.44,39.62,39.65,-3.21,-0.03
25,8526,69005,45.49,34.81,41.05,4.44,-6.24
26,11705,72184,18.82,24.94,23.3,-4.48,1.64
27,20387,80866,47.92,40.72,54.65,-6.74,-13.93
28,3204,63683,83.54,41.84,58.28,25.26,-16.44
29,7840,68319,93.85,58.28,58.63,35.23,-0.34
30,3217,63696,133.42,46.88,54.28,79.14,-7.4
31,11727,72206,20.79,28.48,22.3,-1.51,6.18
32,25261,85740,48.41,43.57,38.67,9.73,4.9
33,3466,63945,108.8,43.79,44.08,64.72,-0.28
34,9912,70391,88.24,54.16,43.86,44.38,10.3
35,10424,70903,75.56,42.14,45.11,30.45,-2.98
36,23373,83852,29.83,31.74,33.23,-3.4,-1.49
37,5261,65740,42.2,32.85,41.24,0.96,-8.39
38,12987,73466,44.48,25.67,32.7,11.79,-7.03
39,6783,67262,28.33,32.29,26.94,1.39,5.35
40,512,60991,38.76,43.38,45.18,-6.41,-1.79
41,19403,79882,42.8,43.82,68.45,-25.66,-24.63
42,1603,62082,72.16,43.54,49.12,23.04,-5.59
43,7251,67730,55.72,72.8,54.74,0.98,18.06
44,12884,73363,58.71,43.96,41.56,17.15,2.4
45,12546,73025,56.66,39.02,38.42,18.24,0.61
46,3023,63502,60.14,39.17,39.07,21.07,0.1
47,25360,85839,61.2,35.15,37.25,23.94,-2.1
48,19371,79850,119.31,40.14,50.69,68.63,-10.55
49,24867,85346,22.25,26.56,21.41,0.84,5.16
