t,mid,spread,obi,depth,volatility,intensity,queue,pup,pred,has_pred,real
0,2990.1,0.2,0.6476,209.3,0.0,0.0,0.59,0.5,0,0,1
1,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
2,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
3,2990.1,0.2,0.1364,236.2,0.0,0.0,2.9,0.5,0,0,1
4,2990.05,0.1001,0.0171,1478.0,0.074,0.0,2.45,0.5,0,0,1
5,2989.75,0.1001,0.145,2998.5,0.389,2.9,2.68,0.5,0,0,1
6,2989.45,0.1001,0.8619,1908.4,0.456,7.09,166.42,0.5,0,0,1
7,2989.35,0.0999,0.8087,2574.9,0.422,9.43,152.8,0.5,0,0,1
8,2989.25,0.1001,0.753,3548.2,0.395,11.34,454.5,0.5,0,0,1
9,2989.25,0.1001,0.6434,4767.9,0.389,12.19,379.92,0.5,0,0,1
10,2989.25,0.1001,0.6904,4866.2,0.381,18.5,409.54,0.5,0,0,1
11,2989.85,0.0999,0.1581,5353.8,0.751,34.72,161.81,0.5,0,0,1
12,2990.05,0.1001,0.3198,7416.4,0.748,58.34,329.46,0.5,0,0,1
13,2990.45,0.1001,0.1709,5738.8,0.805,95.07,96.1,0.5,0,0,1
14,2990.8,0.2,0.2033,4866.9,0.823,134.03,60.02,0.5,0,0,1
15,2991.05,0.1001,0.1456,4054.5,0.813,134.21,1.5,0.5,0,0,1
16,2991.25,0.1001,0.0428,4837.7,0.795,118.4,9.0,0.5,0,0,1
17,2991.35,0.0999,0.0537,4560.9,0.771,108.18,0.03,0.5,0,0,1
18,2991.35,0.0999,0.0796,4523.1,0.752,93.28,20.38,0.5,0,0,1
19,2991.35,0.0999,0.1298,4605.4,0.733,78.55,95.58,0.5,0,0,1
20,2991.35,0.0999,0.144,4115.5,0.716,70.29,272.38,0.5,0,0,1
21,2991.55,0.1001,0.1578,5329.5,0.721,79.48,66.46,0.5,0,0,1
22,2991.65,0.0999,0.1714,5313.0,0.72,87.91,10.88,0.5,0,0,1
23,2991.65,0.0999,0.1156,5036.4,0.72,72.7,10.13,0.5,0,0,1
24,2991.65,0.0999,0.1209,5606.3,0.715,60.79,10.13,0.5,0,0,1
25,2991.65,0.0999,0.1332,5860.3,0.657,51.04,10.78,0.5,0,0,1
26,2991.65,0.0999,0.0955,6067.8,0.59,41.79,10.78,0.5,0,0,1
27,2991.45,0.1001,0.3041,3069.0,0.614,44.55,316.44,0.5,0,0,1
28,2991.8,0.2,0.1876,4817.1,0.617,71.64,10.69,0.5,0,0,1
29,2991.85,0.0999,0.1882,4038.3,0.613,81.49,10.84,0.5,0,0,1
30,2991.95,0.1001,0.1844,3291.6,0.605,112.94,74.14,0.5,0,0,1
31,2992.45,0.1001,0.4393,1722.4,0.567,185.82,80.55,0.5,0,0,1
32,2993.15,0.0999,0.2908,2392.7,0.702,184.59,163.45,0.5,0,0,1
33,2993.45,0.1001,0.1969,2227.4,0.685,187.02,6.32,0.5,0,0,1
34,2993.75,0.1001,0.1178,6187.3,0.678,198.62,10.02,0.5,0,0,1
35,2994.05,0.1001,0.0724,5705.2,0.683,184.0,5.76,0.5,0,0,1
36,2994.0,0.2002,0.0247,6343.2,0.697,151.37,0.75,0.5,0,0,1
37,2993.65,0.0999,0.0898,4038.7,0.783,127.38,38.74,0.5,0,0,1
38,2993.65,0.0999,0.0969,4016.9,0.783,104.29,39.17,0.5,0,0,1
39,2993.35,0.0999,0.7031,730.8,0.836,99.16,164.96,0.5,0,0,1
40,2993.35,0.0999,0.9197,915.1,0.836,81.73,281.45,0.5,0,0,1
41,2993.65,0.0999,0.1882,4481.8,0.846,79.42,0.24,0.5,0,0,1
42,2993.65,0.0999,0.3907,6208.0,0.849,65.03,1305.24,0.5,0,0,1
43,2994.05,0.1001,0.2218,6789.3,0.872,96.74,196.08,0.5,0,0,-1
44,2994.15,0.0999,0.237,2043.8,0.868,135.22,0.33,0.5,0,0,0
45,2994.15,0.0999,0.4836,1186.2,0.868,129.38,26.21,0.5,0,0,-1
46,2994.85,0.0999,0.0142,13398.1,0.956,157.59,15.1,0.5,0,0,0
47,2994.85,0.0999,0.0508,13236.5,0.925,134.28,31.73,0.5,0,0,0
48,2994.85,0.0999,0.0489,12552.1,0.922,117.19,149.49,0.5,0,0,0
49,2995.05,0.1001,0.0713,11456.9,0.919,135.28,250.34,0.5,0,0,0
50,2995.05,0.1001,0.0748,11220.9,0.925,121.64,254.5,0.5,0,0,0
51,2995.05,0.1001,0.0864,10907.3,0.892,122.61,273.72,0.5,0,0,0
52,2995.05,0.1001,0.0679,9635.9,0.781,110.17,138.99,0.5,0,0,0
53,2995.05,0.1001,0.1108,8647.9,0.768,100.17,274.94,0.5,0,0,0
54,2995.05,0.1001,0.2273,3411.1,0.751,159.05,209.92,0.5,0,0,0
55,2996.4,0.2,0.7119,708.5,1.193,238.08,7.73,0.5,0,0,0
56,2996.75,0.1001,0.64,483.8,1.197,209.6,77.85,0.5,0,0,0
57,2996.35,0.0999,0.4579,838.8,1.209,182.12,27.79,0.5,0,0,0
58,2995.85,0.0999,0.5048,237.6,1.292,168.69,22.65,0.5,0,0,0
59,2996.35,0.0999,0.2436,584.1,1.281,151.34,51.53,0.5,0,0,0
60,2996.55,0.1001,0.2952,1018.4,1.277,128.62,33.77,0.5119,1,1,0
61,2996.15,0.0999,0.0328,1926.8,1.334,115.46,10.87,0.5251,1,1,0
62,2995.25,0.1001,0.8131,944.8,1.528,110.48,520.96,0.4894,0,1,0
63,2995.05,0.1001,0.7175,779.4,1.52,124.71,89.46,0.441,0,1,0
64,2994.95,0.3,0.9141,1458.9,1.523,104.64,2.9,0.4629,0,1,0
65,2995.15,0.0999,0.945,2086.9,1.527,86.4,712.38,0.4765,0,1,0
66,2996.05,0.1001,0.3971,974.6,1.581,91.58,12.4,0.4634,0,1,0
67,2996.45,0.1001,0.3776,2896.6,1.599,80.6,262.2,0.5264,1,1,0
68,2996.45,0.1001,0.074,2544.1,1.599,65.99,84.08,0.5298,1,1,0
69,2995.65,0.0999,0.2131,1327.7,1.718,75.6,62.8,0.5099,1,1,0
70,2994.7,0.2,0.6678,969.1,1.86,124.25,141.35,0.4699,0,1,0
71,2994.35,0.0999,0.7817,950.0,1.876,127.11,52.24,0.451,0,1,0
72,2994.25,0.1001,0.8383,935.8,1.876,106.97,219.6,0.4739,0,1,0
73,2994.25,0.1001,0.484,1541.8,1.876,87.58,209.37,0.4961,0,1,0
74,2993.75,0.1001,0.7805,757.3,1.905,128.08,28.81,0.5033,1,1,0
75,2993.85,0.0999,0.4923,1158.9,1.576,107.04,63.75,0.4955,0,1,0
76,2994.2,0.2,0.2578,1150.6,1.577,104.13,45.31,0.5048,1,1,0
77,2993.95,0.1001,0.4179,993.5,1.566,91.6,20.7,0.5333,1,1,0
78,2994.25,0.1001,0.1909,1067.5,1.566,77.89,2.32,0.5078,1,1,0
79,2994.15,0.0999,0.1841,817.0,1.502,71.93,3.06,0.5229,1,1,0
80,2994.05,0.1001,0.5869,1119.3,1.483,59.44,136.88,0.5188,1,1,0
81,2994.45,0.1001,0.6318,1484.7,1.514,61.35,58.81,0.5111,1,1,0
82,2994.45,0.1001,0.5612,1576.6,1.38,50.41,145.82,0.5346,1,1,0
83,2994.45,0.1001,0.6947,2265.3,1.375,41.27,585.03,0.5228,1,1,0
84,2994.65,0.0999,0.6773,1531.0,1.383,52.46,15.0,0.514,1,1,0
85,2994.85,0.0999,0.414,1102.4,1.383,52.92,8.33,0.5246,1,1,0
86,2994.65,0.0999,0.3573,1412.8,1.197,45.5,23.43,0.5291,1,1,0
87,2994.55,0.1001,0.5997,1426.5,1.142,39.61,21.08,0.5032,1,1,0
88,2994.45,0.1001,0.7625,1284.1,1.139,38.6,380.16,0.496,0,1,0
89,2994.45,0.1001,0.7637,1401.1,1.006,38.31,334.99,0.4987,0,1,0
90,2994.45,0.1001,0.8004,1252.0,0.742,39.34,252.57,0.5035,1,1,0
91,2994.45,0.1001,0.7896,1272.8,0.695,33.48,102.22,0.5108,1,1,0
92,2994.45,0.1001,0.8193,963.3,0.69,27.59,102.21,0.5121,1,1,0
93,2994.45,0.1001,0.7912,1032.0,0.69,25.31,50.11,0.5121,1,1,0
94,2994.15,0.0999,0.5408,1667.8,0.619,37.03,262.61,0.5124,1,1,0
95,2993.65,0.3,0.7896,2849.1,0.722,98.66,149.43,0.4877,0,1,0
96,2993.55,0.3,0.8806,2624.0,0.668,92.92,277.78,0.4528,0,1,0
97,2993.45,0.1001,0.7922,2801.3,0.65,81.15,195.96,0.4142,0,1,0
98,2993.25,0.1001,0.6915,2529.2,0.611,107.23,430.07,0.3933,0,1,0
99,2993.1,0.2,0.4815,1534.6,0.614,144.89,1.82,0.4117,0,1,-1
100,2992.55,0.1001,0.7502,1356.0,0.713,155.24,392.12,0.4359,0,1,1
101,2992.55,0.1001,0.6573,1088.8,0.617,142.15,90.36,0.4403,0,1,1
102,2992.55,0.1001,0.4577,1583.4,0.617,119.64,55.97,0.4709,0,1,1
103,2992.15,0.0999,0.7323,1468.6,0.651,134.75,24.69,0.4977,0,1,1
104,2992.05,0.1001,0.9616,1167.0,0.605,119.57,135.41,0.4856,0,1,1
105,2992.05,0.1001,0.6931,1545.0,0.56,103.15,50.86,0.4816,0,1,1
106,2991.95,0.1001,0.7695,1561.1,0.559,87.72,29.74,0.4913,0,1,1
107,2991.85,0.0999,0.9361,2148.1,0.559,73.45,493.7,0.4951,0,1,1
108,2991.85,0.0999,0.9369,2174.0,0.567,60.13,505.41,0.4895,0,1,1
109,2991.85,0.0999,0.9377,2214.4,0.567,49.23,513.36,0.4916,0,1,1
110,2991.85,0.0999,0.9377,2214.1,0.567,40.31,500.78,0.4933,0,1,1
111,2991.85,0.0999,0.9367,2224.5,0.567,33.0,509.05,0.4942,0,1,1
112,2991.85,0.0999,0.9114,2109.4,0.567,27.75,280.19,0.4956,0,1,1
113,2991.85,0.0999,0.9056,2124.4,0.567,22.72,284.84,0.4979,0,1,1
114,2991.85,0.0999,0.9041,2106.1,0.559,18.6,284.5,0.5018,1,1,1
115,2991.85,0.0999,0.9172,1951.9,0.48,24.65,163.24,0.5063,1,1,1
116,2991.85,0.0999,0.9159,1988.6,0.484,22.0,148.19,0.5058,1,1,1
117,2991.85,0.0999,0.9229,2208.2,0.488,18.19,409.37,0.5049,1,1,1
118,2991.85,0.0999,0.8909,2198.0,0.482,15.8,202.58,0.5062,1,1,1
119,2991.75,0.1001,0.625,2257.4,0.479,31.43,528.68,0.5074,1,1,1
120,2991.75,0.1001,0.7307,2030.6,0.308,59.44,63.01,0.5027,1,1,1
121,2991.75,0.1001,0.7941,2449.1,0.308,49.94,33.58,0.5034,1,1,1
122,2991.65,0.0999,0.8652,3507.7,0.309,42.7,231.17,0.4988,0,1,1
123,2991.65,0.0999,0.7982,3801.6,0.145,34.96,232.82,0.4876,0,1,1
124,2991.55,0.1001,0.6657,4401.9,0.145,45.12,496.14,0.4885,0,1,1
125,2991.55,0.1001,0.7745,4583.8,0.145,52.71,274.63,0.4851,0,1,1
126,2991.65,0.0999,0.8244,5102.6,0.159,50.41,421.64,0.4842,0,1,1
127,2991.85,0.0999,0.6392,4507.3,0.211,60.12,132.08,0.494,0,1,1
128,2992.35,0.0999,0.1379,2634.1,0.422,124.27,33.2,0.5199,1,1,1
