seed,episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,twap_bps,pov_bps,passive_bps,static_vs_vwap,sizeaware_vs_vwap,sizeaware_vs_static
1000,0,5267,65746,46.989,37.893,38.837,42.378,42.999,115.658,8.152,-0.944,-9.096
1000,1,13482,73961,89.434,41.323,49.943,59.802,52.387,193.621,39.491,-8.62,-48.111
1000,2,21939,82418,24.906,26.467,26.115,24.851,25.968,137.549,-1.209,0.353,1.562
1000,3,15614,76093,155.353,99.391,49.742,56.333,54.006,208.395,105.611,49.649,-55.962
1000,4,21166,81645,24.529,33.997,28.406,34.768,32.224,69.321,-3.877,5.591,9.468
1000,5,12178,72657,78.364,54.686,61.509,66.321,68.909,223.871,16.854,-6.824,-23.678
1000,6,5396,65875,69.074,47.341,55.302,54.767,64.402,228.486,13.771,-7.961,-21.732
1000,7,5255,65734,34.451,24.278,36.697,37.419,39.604,148.99,-2.246,-12.419,-10.173
1000,8,13005,73484,75.42,42.945,47.668,38.264,45.764,243.154,27.752,-4.723,-32.475
1000,9,13673,74152,120.532,47.194,47.796,48.105,51.92,171.633,72.735,-0.602,-73.338
1000,10,7666,68145,81.2,45.976,48.375,49.824,50.728,248.278,32.825,-2.399,-35.224
1000,11,4940,65419,71.808,51.523,43.567,59.199,50.943,304.07,28.241,7.957,-20.285
1000,12,12916,73395,47.183,40.624,35.617,41.127,38.33,130.649,11.566,5.007,-6.559
1000,13,7280,67759,39.797,39.872,38.612,40.689,43.931,131.203,1.185,1.26,0.075
1000,14,6759,67238,36.67,44.351,33.945,43.227,38.102,152.478,2.725,10.405,7.681
1000,15,19489,79968,194.353,46.399,53.128,44.195,51.758,234.426,141.226,-6.729,-147.954
1000,16,4829,65308,84.739,44.686,40.628,45.418,41.391,195.257,44.111,4.058,-40.053
1000,17,14265,74744,47.993,33.799,46.557,54.529,52.051,124.078,1.436,-12.759,-14.194
1000,18,19,60498,155.539,51.094,51.429,55.996,55.833,257.206,104.11,-0.335,-104.445
1000,19,22334,82813,32.464,44.069,35.53,56.927,44.408,251.794,-3.067,8.539,11.606
1000,20,23216,83695,32.986,42.446,43.598,42.914,49.13,179.015,-10.612,-1.152,9.46
